TSS,strand,orf_st,orf_ed,range_st,range_ed
482,+,503,1009,198,497
2272,-,2084,2245,2266,2565
2835,-,2295,2750,2800,3099
2738,+,2779,3108,2454,2753
3031,+,3089,3721,2743,3042
3051,+,3089,3721,2777,3076
4387,-,3759,4364,4379,4678
4470,+,4520,5257,4219,4518
7347,-,5287,6918,7253,7552
6885,+,6917,7735,6608,6907
8953,-,7899,8921,8939,9238
8816,+,8958,9611,8560,8859
10677,-,9638,10621,10642,10941
10836,-,9638,10621,10719,11018
11460,-,10513,11313,11371,11670
11384,+,11426,12946,11124,11423
13055,+,13092,13769,12782,13081
13308,+,13738,14232,13256,13555
13520,+,13738,14232,13394,13693
15512,-,14398,15459,15476,15775
15417,+,15461,15787,15158,15457
16713,-,16013,16222,16699,16998
17314,-,16305,17264,17275,17574
17318,-,16305,17264,17305,17604
16553,+,17301,18449,16371,16670
17288,+,17301,18449,16994,17293
18469,+,18513,20585,18211,18510
21509,-,20634,21143,21300,21599
21151,-,20634,21143,21148,21447
22173,-,21183,22133,22163,22462
22262,-,21183,22133,22241,22540
22193,+,22209,22598,21902,22201
22413,+,22600,23460,22195,22494
23397,+,23465,23986,23161,23460
24274,-,24046,24261,24263,24562
24999,-,24046,24261,24761,25060
25034,-,24046,24261,24846,25145
25897,-,24315,25706,25756,26055
26197,-,24315,25706,26029,26328
25810,+,25820,26275,25520,25819
28147,-,27041,27586,27869,28168
27787,-,27041,27586,27590,27889
27596,-,27041,27586,27588,27887
28295,-,27733,28281,28291,28590
29090,-,28294,28941,29067,29366
28946,+,28962,29195,28658,28957
30225,-,29242,30069,30192,30491
30198,-,29242,30069,30174,30473
30201,-,29242,30069,30174,30473
30209,-,29242,30069,30106,30405
30597,-,30063,30401,30465,30764
31032,-,30364,31014,31027,31326
32190,-,31078,32169,32185,32484
33445,-,32177,33382,33425,33724
33240,+,33381,33926,33029,33328
33968,+,34010,35530,33692,33991
35255,+,35544,35777,34993,35292
35598,+,35758,36153,35448,35747
35658,+,36155,36733,35361,35660
36704,+,36718,38832,36415,36714
36682,+,36718,38832,36411,36710
39218,-,38938,39204,39216,39515
39644,-,39278,39619,39621,39920
40455,-,39643,40413,40436,40735
43175,-,40523,43153,43161,43460
43018,+,43180,44136,42725,43024
44769,-,44339,44710,44741,45040
44088,+,44712,45131,43883,44182
44678,+,44712,45131,44395,44694
45124,+,45128,45364,44829,45128
46361,+,46411,46632,46080,46379
46521,+,46634,46888,46323,46622
47031,+,47073,47558,46769,47068
48282,-,47574,47747,48221,48520
48327,-,47882,48091,48126,48425
48467,-,48103,48366,48380,48679
49215,-,48513,49157,49195,49494
48735,+,49184,50734,48708,49007
50561,+,50795,51262,50444,50743
52204,-,51283,52191,52195,52494
52280,-,51283,52191,52269,52568
55402,-,52329,55283,55298,55597
55485,-,52329,55283,55425,55724
55268,+,55292,57718,54974,55273
55076,+,55292,57718,54799,55098
58926,-,57721,58878,58909,59208
59178,-,57721,58878,58971,59270
59172,-,57721,58878,58951,59250
59124,+,59276,60064,58871,59170
60100,+,60110,60982,59811,60110
60987,+,61016,61765,60717,61016
61308,+,61824,62006,61164,61463
61468,+,61824,62006,61204,61503
62373,-,62015,62314,62349,62648
63121,-,62311,63108,63111,63410
63298,-,62311,63108,63160,63459
63344,-,62311,63108,63165,63464
63809,-,63126,63527,63742,64041
63541,-,63126,63527,63527,63826
63620,-,63126,63527,63575,63874
64047,-,63543,63797,63995,64294
65027,-,63813,64952,64985,65284
65298,-,64958,65287,65290,65589
65379,-,64958,65287,65376,65675
65715,-,65290,65604,65664,65963
65777,-,65290,65604,65747,66046
66886,-,65607,66836,66861,67160
66855,-,65607,66836,66838,67137
67582,-,66826,67527,67542,67841
68009,-,67376,67918,67966,68265
68088,-,67376,67918,68060,68359
67925,-,67376,67918,67919,68218
67815,+,67884,70427,67566,67865
70508,+,71165,71731,70494,70793
71880,+,71934,72095,71617,71916
74871,-,72131,74215,74669,74968
74111,+,74356,74736,73983,74282
74335,+,74356,74736,74039,74338
75773,-,74737,75531,75545,75844
76899,-,75534,76577,76737,77036
76635,-,75534,76577,76584,76883
76683,-,75534,76577,76628,76927
76539,+,76596,77990,76273,76572
78665,-,77987,78661,78662,78961
79661,-,78699,79478,79567,79866
79349,+,79477,79962,79134,79433
79902,+,79971,80657,79659,79958
84431,-,80694,84359,84413,84712
84543,-,80694,84359,84485,84784
84202,+,84346,84867,83986,84285
84838,+,84839,85009,84540,84839
86072,-,85021,85983,86044,86343
85654,+,85918,86715,85427,85726
86919,-,86712,86879,86879,87178
88199,-,86921,88006,88191,88490
88112,-,86921,88006,88050,88349
88456,-,88026,88394,88412,88711
89558,-,88375,89538,89555,89854
89529,+,89564,91639,89258,89557
89377,+,89564,91639,89120,89419
93341,-,91667,93328,93332,93631
93366,-,91667,93328,93337,93636
93663,+,93873,94058,93456,93755
94718,-,94392,94709,94713,95012
95910,-,94721,95893,95907,96206
96110,-,95929,96099,96099,96398
96383,-,96148,96351,96354,96653
96410,+,96521,96784,96135,96434
96711,+,96789,97298,96462,96761
99176,-,97886,99160,99171,99470
99226,-,97886,99160,99204,99503
99805,-,99182,99796,99802,100101
99773,+,99910,100197,99482,99781
99361,+,99910,100197,99341,99640
101038,-,100231,100704,100757,101056
101115,-,100231,100704,100981,101280
100853,-,100231,100704,100711,101010
100692,+,100699,102291,100398,100697
102201,+,102296,102544,101946,102245
102936,-,102713,102901,102921,103220
104206,-,102964,103611,103956,104255
103640,-,102964,103611,103629,103928
103623,+,103793,104536,103414,103713
103782,+,103793,104536,103487,103786
105246,-,104553,105233,105239,105538
106950,-,105282,106937,106943,107242
106957,+,106983,107954,106669,106968
109855,-,108179,109717,109810,110109
109842,-,108179,109717,109733,110032
109782,-,108179,109717,109718,110017
109755,-,108179,109717,109745,110044
109863,+,109900,110496,109594,109893
110501,+,110524,110844,110221,110520
110857,+,110903,111661,110593,110892
111869,+,111873,112532,111572,111871
112520,+,112560,113819,112222,112521
112540,+,112560,113819,112254,112553
116291,-,113870,116281,116286,116585
116294,-,113870,116281,116286,116585
116357,-,113870,116281,116283,116582
116462,+,116492,117391,116183,116482
116466,+,116492,117391,116186,116485
118010,+,118044,118766,117714,118013
118769,+,118839,119123,118475,118774
121086,-,119135,121072,121075,121374
122635,-,121205,122554,122585,122884
122595,-,121205,122554,122566,122865
122806,+,122832,122945,122532,122831
122756,+,127150,128946,122590,122889
123616,+,123632,125065,123322,123621
124960,+,125153,125341,124849,125148
125344,+,125357,126229,125056,125355
125982,+,126299,126532,125713,126012
127140,-,126527,127132,127139,127438
127148,+,127198,128946,126879,127178
130152,-,129008,130138,130144,130443
131291,-,130167,130490,131166,131465
130319,+,130456,130755,130066,130365
129684,+,130456,130755,129705,130004
132131,-,130857,132083,132126,132425
132968,-,132109,132387,132652,132951
132481,+,132526,133491,132223,132522
133577,+,133591,133836,133278,133577
133588,+,133591,133836,133292,133591
132914,+,133591,133836,132817,133116
