TSS,Direction,TATAA_Distance_from_TSS,CAGT_Distance_from_TSS,TAAG_Distance_from_TSS,ORF,ORF start,ORF end,Early / Late
482,+,,,-1,ptpase,503,1009,L
2272,-,,,-1,Ac-bro,1041,2027,L
2272,-,,,-1,ctx,2084,2245,L
2835,-,,,,orf4,2295,2750,E
2738,+,,,-1,orf5,2779,3108,L
3031,+,,,-1,lef-2,3089,3721,L
3051,,,,-21,,,,E
4387,-,,-11,,orf603,3759,4364,E
4470,+,43,23,-1,polh,4520,5257,L
7347,-,-3,,-1,"p78/83, orf1629",5287,6918,L
6885,+,,,4,pk-1,6917,7735,E
8953,-,-30,-4,,orf11,7899,8921,E
8816,+,,,,orf12,8958,9611,E
10677,-,-9,,-1,orf13,9638,10621,L
10836,,,-1,,,,,E
11460,-,,-8,-5,lef-1,10513,11313,E
11384,+,-29,16,,egt,11426,12946,E
13055,+,-28,,,da26,13092,13769,E
13308,+,,7,-1,"da18, da16",13738,14232,L
13520,,,,-1,,,,L
15512,-,,21,,da41,14398,15459,E
15417,+,-3,,-1,orf19,15461,15787,L
16713,-,,,-1,orf20,16013,16222,L
17314,-,-28,4,,Arif-1,16305,17264,E
17318,,-32,-1,,,,,E
16553,+,,,-1,orf22,17301,18449,L
17288,,,-42,-1,,,,L
18469,+,33,-31,-1,orf23,18513,20585,L
18531,,-30,-1,,,,,E
21509,-,,,-1,pkip,20634,21143,L
21151,,-24,,-1,,,,E/L
22173,-,,,,dbp,21183,22133,E
22262,,,,,,,,E
22193,+,-3,,-1,orf26,22209,22598,L
22193,+,-3,,-1,iap-1,22600,23460,L
22413,,,,-1,,,,L
23397,+,43,-17,,lef-6,23465,23986,E
24274,-,,,,orf29,24046,24261,E
24999,,,,,,,,E
25034,,,,,,,,E
25897,-,,,-1,orf30,24315,25706,L
26197,,,,-1,,,,L
25810,+,,,-1,sod,25820,26275,L
28147,-,,,,v-fgf,27041,27586,E
27787,,,8,-1,,,,L
27596,,-30,-19,,,,,E
28295,-,,,-1,HisP,27733,28281,L
29090,-,,-21,-1,orf34,28294,28941,L
28946,+,-3,,-1,v-ubi,28962,29195,L
30225,-,-15,24,-1,pp31,29242,30069,L
30198,,-32,,,,,,E
30201,,-29,-1,,,,,E
30209,,,,,,,,E
30597,-,-25,,,lef-11,30063,30401,E
31032,-,,,-1,orf38,30364,31014,L
32190,-,,,,p43,31078,32169,E
33445,-,,,,p47,32177,33382,E
33240,+,,,,lef-12,33381,33926,E
33968,+,,,,gta,34010,35530,E
35255,+,,,-1,orf43,35544,35777,L
35598,+,,,-1,orf44,35758,36153,L
35658,+,,,,orf45,36155,36733,E
36704,+,-46,,"-24, -1",odv-e66,36718,38832,L
36682,,-24,,-1,,,,E/L
39218,-,,28,,ets,38938,39204,E
39644,-,,17,,etm,39278,39619,E
40455,-,,,,"etl, pcna",39643,40413,E
43175,-,,7,,lef-8,40523,43153,E
43018,+,,,-18,orf51,43180,44136,E
44769,-,,,,orf52,44339,44710,E
44088,+,,,-1,orf53,44712,45131,L
44678,,,,"-11, -1",,,,L
45124,+,,,,lef-10,45128,45364,E
45124,+,,,,orf54,45222,46319,E
46361,+,,-35,,orf55,46411,46632,E
46521,+,,-48,-1,orf56,46634,46888,L
47031,+,-32,27,,orf57,47073,47558,E
48282,-,-3,,-46,orf58,47574,47747,E
48327,-,-9,,-1,orf59,47882,48091,L
48467,-,,,-1,orf60,48103,48366,L
49215,-,-3,,-1,fp-25k,48513,49157,L
48735,+,,,-1,lef-9,49184,50734,L
49223,,,,,,,,E
50561,+,,-31,-1,orf63,50795,51262,L
52204,-,-3,,-1,"gp37,slp",51283,52191,L
52280,,-44,,-1,,,,E
55402,-,,,,dnapol,52329,55283,E
55485,,,,,,,,E
55268,+,,,-1,orf66,55292,57718,L
55076,,,,-1,,,,L
58926,-,,4,,lef-3,57721,58878,E
59178,,,,,,,,E
59172,,,,,,,,E
58831,+,-3,,-1,orf68,58720,59298,L
59124,+,,,-1,MTase1,59276,60064,L
60100,+,-40,,,hcf-1,60110,60982,E
60987,+,24,,-1,iap-2,61016,61765,L
61308,+,,-1,,orf72,61824,62006,E
61468,,,,,,,,E
62373,-,,,-1,orf73,62015,62314,L
63121,-,,44,-1,orf74,62311,63108,L
63087,,,,,,,,E
63298,,,,,,,,E
63344,,,,,,,,E
63809,-,,,-1,orf75,63126,63527,L
63541,,,,-1,,,,L
63620,,,,"-50, -1",,,,L
64047,-,,16,-1,orf76,63543,63797,L
65027,-,,,-1,vlf-1,63813,64952,L
65298,-,,,-1,orf78,64958,65287,L
65379,,,,-1,,,,L
65715,-,,,-1,orf79,65290,65604,L
65777,,,,,,,,E
66886,-,-3,,-1,gp41,65607,66836,L
66855,,,,-1,,,,L
67582,-,,,-1,orf81,66826,67527,L
68009,-,,-1,,orf82,67376,67918,E
68088,,-3,,-1,,,,L
67925,,,-1,,,,,E
67815,+,21,,-1,orf83,67884,70427,L
70508,+,,,-1,orf84,71165,71731,L
71880,+,-30,,,orf85,71934,72095,E
74871,-,,,-1,pnk/pnl,72131,74215,L
,,,,,,,,E
74111,+,,,-1,p15,74356,74736,L
74335,,-27,-11,,,,,E
75773,-,,-40,-47,cg30,74737,75531,E
,,,,-1,,,,L
76899,-,,5,-1,vp39,75534,76577,L
76635,,44,,"-49, -1",,,,L
76683,,-3,,-1,,,,L
76539,+,,,,lef-4,76596,77990,E
78665,-,,,-4,orf91,77987,78661,E
79661,-,,,"-35, -1",p33,78699,79478,L
79349,+,-7,20,"-5, -1",orf93,79477,79962,L
79902,+,,-48,-1,"odv-e25, p25",79971,80657,L
84431,-,,,-1,"p143, hel",80694,84359,L
84543,,,,,,,,E
84202,+,,,-1,orf96,84346,84867,L
84838,+,,-39,,orf97,84839,85009,E
86072,-,,,-1,38k,85021,85983,L
85654,+,,,-1,lef-5,85918,86715,L
86919,-,,-31,-1,p6.9,86712,86879,L
