Accession,Species,Length,Geo_Location,Host
NC_076031.1,Mythimna unipuncta nucleopolyhedrovirus,156647,USA: Kentucky,Mythimna unipuncta
NC_076246.1,Spodoptera exigua multiple nucleopolyhedrovirus,128525,China,Spodoptera exigua
NC_076652.1,Betabaculovirus hycuneae,114825,Turkey,Hyphantria cunea
NC_076682.1,Alphabaculovirus ranus,128587,Brazil,Rachiplusia nu
NC_076692.1,Alphabaculovirus dijunonis,122075,Brazil,Dione juno
NC_076728.1,Euproctis digramma nucleopolyhedrovirus,161734,China: Guizhou,
NC_076869.1,Alphabaculovirus speridaniae,137373,Brazil,Spodoptera eridania
NC_076905.1,Betabaculovirus maphaseoli,116875,"China: Min country, Gansu Province",Matsumuraeses phaseoli
NC_077025.1,Alphabaculovirus chrincludentis,130540,,Chrysodeixis includens
NC_077106.1,Alphabaculovirus travishnous,165657,China,Trabala vishnou gigantina
NC_077147.1,Alphabaculovirus olmendosae,142291,India: Coimbatore,Olene mendosa
NC_077155.1,Alphabaculovirus erankerariae,125247,China,Erannis ankeraria
NC_055453.1,Alphabaculovirus hytalacae,139089,India,Hyposidra talaca
NC_055455.1,Alphabaculovirus spexemptae,129528,,Spodoptera exempta
NC_055467.1,Alphabaculovirus cycundantis,142900,China,
NC_055500.1,Alphabaculovirus crypeltasticae,115728,South Africa,Cryptophlebia peltastica
NC_055502.1,Alphabaculovirus speridaniae,149090,,Spodoptera eridania
NC_043520.1,Alphabaculovirus lonobliquae,120023,Brazil,Lonomia obliqua
NC_043529.1,Alphabaculovirus oxochraceae,113971,China,Oxyplax ochracea
NC_043530.1,Mythimna unipuncta nucleopolyhedrovirus,148482,USA,Mythimna unipuncta
NC_040606.1,Malacosoma neustria nucleopolyhedrovirus,130202,Turkey,Malacosoma neustria
NC_040621.1,Alphabaculovirus opbrumatae,119054,USA: Massachusetts,Operophtera brumata
NC_038369.1,Alphabaculovirus splittoralis,137998,Egypt,Spodoptera littoralis
NC_038371.1,Betabaculovirus alterclanastomosis,107439,China: Hunan,Clostera anastomosis
NC_038375.1,Betabaculovirus trini,175360,USA,Trichoplusia ni
NC_039213.1,Betabaculovirus agsegetum,131557,Austria,Agrotis segetum
NC_032255.1,Betabaculovirus plinterpunctellae,112536,United Kingdom,Plodia interpunctella
